season,holiday,workingday,weather,temp,humidity,windspeed
2,0,0,2,30.34,27,27.9993
3,0,1,1,32.8,49,8.9981
4,0,1,1,19.68,82,0.0
1,0,1,2,8.2,40,16.9979
4,0,1,1,13.94,46,7.0015
4,0,1,1,10.66,75,0.0
2,0,1,1,16.4,50,35.0008
2,0,1,1,18.86,63,0.0
3,0,1,1,27.06,83,16.9979
4,0,0,3,16.4,71,8.9981
2,0,1,1,29.52,39,12.998
2,0,1,1,15.58,54,23.9994
4,0,0,1,18.86,36,12.998
3,0,0,2,26.24,89,7.0015
3,1,0,2,24.6,88,39.0007
2,0,1,1,12.3,49,19.0012
3,0,1,1,25.42,35,19.9995
4,0,1,1,18.86,36,26.0027
4,0,0,2,26.24,57,35.0008
2,0,1,1,30.34,22,26.0027
1,0,0,2,13.12,39,16.9979
4,0,1,1,18.86,67,16.9979
2,0,1,2,23.78,88,0.0
4,0,0,1,13.94,53,8.9981
2,0,1,3,23.78,64,16.9979
4,0,1,1,18.86,88,6.0032
1,0,0,1,13.94,42,11.0014
3,0,1,2,29.52,62,12.998
4,0,1,2,22.14,77,7.0015
1,0,1,3,13.12,70,8.9981
4,0,1,1,19.68,77,7.0015
4,0,1,2,22.14,94,7.0015
4,0,0,1,10.66,60,15.0013
2,0,1,1,18.86,41,19.0012
2,0,1,1,28.7,79,11.0014
1,0,1,2,8.2,59,6.0032
3,0,1,1,30.34,51,15.0013
2,0,1,1,18.04,33,0.0
2,0,1,1,25.42,69,6.0032
4,0,1,2,14.76,62,7.0015
4,0,0,1,13.94,53,8.9981
2,0,0,1,22.96,60,16.9979
4,0,1,1,19.68,77,8.9981
4,0,1,1,22.14,39,16.9979
2,0,0,2,21.32,100,8.9981
1,0,1,1,22.14,52,19.0012
3,0,1,1,26.24,69,7.0015
4,0,0,1,16.4,35,19.0012
3,0,1,1,36.9,27,0.0
2,0,1,1,28.7,65,16.9979
1,0,1,1,18.86,63,30.0026
3,0,0,1,24.6,46,15.0013
1,0,1,1,18.86,63,26.0027
4,0,1,1,16.4,66,6.0032
1,0,1,1,13.94,46,8.9981
1,0,1,2,18.04,94,0.0
1,0,1,1,6.56,40,22.0028
2,0,0,1,16.4,82,7.0015
3,0,1,1,34.44,53,19.0012
2,0,1,1,25.42,83,8.9981
4,0,1,1,17.22,62,11.0014
2,0,1,1,27.88,41,12.998
4,0,1,3,18.86,94,6.0032
3,0,0,1,34.44,20,0.0
4,0,1,1,16.4,37,23.9994
3,0,1,1,36.08,42,16.9979
2,0,0,1,25.42,73,19.9995
4,0,1,3,16.4,94,19.9995
3,0,1,1,25.42,78,8.9981
1,0,1,2,8.2,47,6.0032
2,0,1,3,19.68,47,15.0013
1,0,1,1,13.94,53,12.998
4,0,1,1,17.22,38,0.0
2,0,1,1,23.78,60,19.0012
4,1,0,1,22.14,77,0.0
3,0,1,2,28.7,74,39.0007
1,0,1,1,22.96,43,11.0014
1,0,0,1,5.74,54,19.0012
1,0,0,1,10.66,93,15.0013
1,0,0,2,17.22,100,19.0012
3,0,1,1,28.7,74,8.9981
3,0,1,1,24.6,83,7.0015
2,0,0,1,15.58,46,0.0
4,0,0,1,13.94,61,11.0014
1,0,1,2,15.58,46,22.0028
2,0,1,3,20.5,77,23.9994
2,0,1,1,24.6,49,19.0012
1,0,1,3,6.56,93,0.0
1,0,0,1,9.84,41,23.9994
3,0,1,1,31.98,59,22.0028
2,0,1,1,16.4,82,22.0028
3,0,1,1,30.34,35,11.0014
2,0,1,1,17.22,35,8.9981
4,0,0,1,14.76,66,11.0014
2,0,0,1,29.52,58,12.998
4,1,0,1,14.76,34,22.0028
3,0,1,3,28.7,84,11.0014
3,0,1,1,33.62,17,0.0
1,0,0,2,6.56,59,6.0032
2,0,0,1,26.24,83,7.0015
1,0,0,2,16.4,100,19.9995
4,0,1,1,13.12,87,0.0
1,0,1,1,7.38,80,7.0015
3,0,0,1,18.04,77,15.0013
2,0,0,1,17.22,71,8.9981
1,0,0,3,8.2,100,8.9981
1,0,0,2,12.3,36,19.0012
3,0,1,1,17.22,67,12.998
1,0,1,2,14.76,57,6.0032
3,0,1,1,27.06,65,7.0015
3,0,0,1,35.26,41,22.0028
3,0,1,1,31.16,66,12.998
2,0,0,1,22.14,24,16.9979
3,0,1,1,27.06,61,8.9981
1,0,1,1,9.02,37,26.0027
4,0,1,2,15.58,87,7.0015
1,0,0,1,12.3,52,15.0013
4,0,1,1,21.32,48,12.998
3,0,1,1,26.24,89,11.0014
3,0,1,1,30.34,70,16.9979
3,0,1,1,31.16,55,16.9979
2,0,1,3,22.14,52,23.9994
3,0,1,1,36.9,25,19.0012
4,0,1,1,19.68,55,6.0032
2,0,1,1,22.96,49,23.9994
1,0,0,3,14.76,93,6.0032
4,0,1,1,13.12,87,0.0
1,0,1,2,12.3,52,16.9979
3,0,1,1,27.88,79,8.9981
2,0,0,1,27.06,83,11.0014
1,0,0,1,18.86,31,22.0028
4,0,1,1,23.78,94,8.9981
1,0,1,2,6.56,59,0.0
3,0,1,1,27.06,83,8.9981
2,0,1,2,30.34,57,11.0014
4,0,0,1,20.5,31,23.9994
4,0,1,1,13.94,61,0.0
2,0,1,3,22.96,78,11.0014
2,0,1,1,25.42,83,8.9981
1,0,1,1,22.96,49,22.0028
2,0,1,2,22.96,83,27.9993
3,0,0,3,30.34,79,11.0014
3,0,1,1,23.78,78,6.0032
1,0,1,2,13.94,81,7.0015
4,0,0,2,14.76,100,0.0
3,0,1,3,25.42,94,12.998
2,0,1,1,15.58,46,0.0
3,0,1,2,20.5,82,15.0013
3,0,1,1,27.06,74,8.9981
2,0,1,1,26.24,36,31.0009
1,0,0,1,4.92,54,7.0015
3,0,1,1,24.6,40,16.9979
1,0,1,1,12.3,42,26.0027
2,0,1,1,24.6,49,0.0
1,0,1,1,8.2,59,11.0014
3,0,0,2,27.06,78,11.0014
4,0,1,1,14.76,66,15.0013
2,0,1,1,16.4,71,16.9979
4,0,0,1,14.76,62,12.998
3,0,1,1,31.98,59,12.998
2,0,0,1,26.24,78,12.998
4,0,1,1,13.12,57,19.9995
2,0,1,2,26.24,65,12.998
4,0,1,1,19.68,44,26.0027
1,0,1,1,5.74,50,26.0027
3,0,1,1,23.78,83,7.0015
3,0,1,2,27.06,94,0.0
3,0,1,2,28.7,74,8.9981
3,0,1,1,30.34,48,12.998
4,0,1,2,18.86,88,19.9995
2,0,1,3,13.94,93,26.0027
3,0,1,1,27.06,83,0.0
4,0,0,1,11.48,81,7.0015
1,0,1,1,18.86,59,19.9995
3,0,1,1,30.34,51,7.0015
2,0,0,1,27.88,54,16.9979
4,0,0,1,10.66,65,7.0015
1,0,1,1,13.94,61,19.0012
4,1,0,1,29.52,37,0.0
3,0,1,2,29.52,45,8.9981
1,0,1,1,9.84,52,15.0013
1,0,1,1,6.56,47,11.0014
1,0,1,2,22.96,49,15.0013
3,0,0,3,27.88,65,6.0032
4,0,1,2,24.6,43,11.0014
2,0,0,2,14.76,76,11.0014
3,0,0,1,34.44,39,19.0012
3,0,1,3,28.7,79,0.0
3,0,0,1,25.42,73,11.0014
1,0,1,1,0.82,44,8.9981
4,0,1,2,11.48,56,19.9995
1,0,1,2,13.94,49,19.9995
1,0,1,2,9.02,75,30.0026
2,0,0,2,26.24,61,11.0014
2,0,1,1,21.32,83,0.0
2,0,1,1,26.24,25,19.0012
4,1,0,2,17.22,66,16.9979
2,0,1,2,24.6,56,16.9979
3,0,1,1,30.34,62,0.0
3,0,0,1,37.72,42,19.9995
3,0,0,1,31.16,37,15.0013
3,0,1,1,24.6,78,11.0014
4,0,0,2,10.66,93,0.0
2,0,1,1,27.88,61,8.9981
2,0,1,1,17.22,67,12.998
1,1,0,1,5.74,43,7.0015
2,0,1,1,29.52,26,22.0028
4,0,0,1,27.06,39,27.9993
4,0,0,1,18.04,88,0.0
1,0,0,1,22.14,68,0.0
2,0,1,1,24.6,56,15.0013
3,0,1,3,28.7,89,12.998
4,0,1,2,18.04,94,8.9981
4,0,1,1,13.94,49,12.998
1,0,1,1,16.4,50,15.0013
2,0,1,2,24.6,56,16.9979
1,0,1,1,22.96,68,11.0014
4,0,0,1,21.32,27,22.0028
4,0,1,1,11.48,65,6.0032
4,0,0,1,9.84,93,0.0
4,0,1,2,18.86,77,0.0
1,0,1,2,18.86,82,19.0012
3,0,0,1,25.42,73,6.0032
2,0,1,1,22.14,60,16.9979
4,0,0,1,14.76,76,8.9981
1,0,1,1,9.02,25,6.0032
1,0,1,1,9.84,52,15.0013
4,0,0,1,17.22,62,8.9981
2,0,1,2,24.6,53,22.0028
4,0,1,2,14.76,71,11.0014
2,0,0,1,24.6,88,0.0
4,0,1,1,17.22,82,7.0015
3,0,1,1,30.34,51,15.0013
3,0,1,2,27.88,65,8.9981
1,0,1,1,13.12,57,12.998
2,0,1,2,24.6,64,12.998
2,0,1,2,24.6,78,8.9981
3,0,1,1,28.7,79,6.0032
4,0,0,1,12.3,89,6.0032
3,0,0,2,27.06,36,15.0013
4,0,1,1,16.4,54,12.998
2,0,1,1,23.78,53,22.0028
2,0,1,2,27.06,65,19.0012
2,0,1,1,26.24,38,26.0027
4,0,1,3,13.94,87,43.0006
