epoch,step,train/loss,val/loss
0,49,29506.2109375,
0,99,32874.8828125,
0,149,24778.212890625,
0,199,35680.2265625,
0,204,,26470.013671875
1,249,16386.908203125,
1,299,12068.814453125,
1,349,28349.95703125,
1,399,11368.826171875,
1,409,,25383.82421875
2,449,41794.484375,
2,499,13973.2802734375,
2,549,26706.244140625,
2,599,20181.671875,
2,614,,25406.556640625
3,649,31002.4140625,
3,699,18241.3984375,
3,749,43510.640625,
3,799,19702.322265625,
3,819,,24858.333984375
4,849,17758.109375,
4,899,26323.4140625,
4,949,15073.435546875,
4,999,23867.3984375,
4,1024,,25099.890625
5,1049,26693.587890625,
5,1099,24417.53125,
5,1149,31338.62890625,
5,1199,25532.6484375,
5,1229,,24648.54296875
6,1249,20721.740234375,
6,1299,28658.953125,
6,1349,37410.7734375,
6,1399,25351.4375,
6,1434,,25112.208984375
7,1449,22681.4609375,
7,1499,18961.59765625,
7,1549,16423.94140625,
7,1599,15125.19140625,
7,1639,,24702.46875
8,1649,29273.953125,
8,1699,35448.03515625,
8,1749,30506.46875,
8,1799,25377.609375,
8,1844,,24700.41796875
9,1849,24453.19140625,
9,1899,17239.341796875,
9,1949,16911.29296875,
9,1999,12515.6884765625,
9,2049,7528.9619140625,
9,2049,,24511.0859375
10,2099,22477.65234375,
10,2149,47230.4296875,
10,2199,19015.58203125,
10,2249,19221.61328125,
10,2254,,24537.056640625
11,2299,28719.533203125,
11,2349,12857.3251953125,
11,2399,27168.09765625,
11,2449,15322.580078125,
11,2459,,25279.9765625
12,2499,34217.04296875,
12,2549,42639.47265625,
12,2599,18774.78515625,
12,2649,23302.162109375,
12,2664,,24494.484375
13,2699,14389.4619140625,
13,2749,25488.6171875,
13,2799,28809.58203125,
13,2849,10454.5078125,
13,2869,,24508.1796875
14,2899,43545.8359375,
14,2949,20331.857421875,
14,2999,11233.82421875,
14,3049,17353.69140625,
14,3074,,24431.2578125
15,3099,50637.69921875,
15,3149,24115.9375,
15,3199,34074.62890625,
15,3249,23061.5234375,
15,3279,,24336.501953125
16,3299,20254.40625,
16,3349,45107.58984375,
16,3399,18440.34765625,
16,3449,32519.501953125,
16,3484,,24313.62109375
17,3499,36234.1875,
17,3549,22178.81640625,
17,3599,25743.3046875,
17,3649,16357.41796875,
17,3689,,24392.375
18,3699,26151.98828125,
18,3749,26415.654296875,
18,3799,30398.64453125,
18,3849,49489.70703125,
18,3894,,24397.16796875
19,3899,22145.046875,
19,3949,20269.53125,
19,3999,18767.294921875,
19,4049,14929.140625,
19,4099,8094.47412109375,
19,4099,,24660.208984375
20,4149,23196.19921875,
20,4199,13310.216796875,
20,4249,39890.97265625,
20,4299,21010.984375,
20,4304,,24228.880859375
21,4349,20118.15625,
21,4399,15085.166015625,
21,4449,19931.6796875,
21,4499,21227.841796875,
21,4509,,24244.48828125
22,4549,15112.9296875,
22,4599,16775.44921875,
22,4649,20917.359375,
22,4699,28043.0390625,
22,4714,,24695.3359375
23,4749,31455.52734375,
23,4799,21739.650390625,
23,4849,11035.23046875,
23,4899,22821.80078125,
23,4919,,24147.330078125
24,4949,13420.900390625,
24,4999,18794.3515625,
24,5049,17946.40234375,
24,5099,13929.462890625,
24,5124,,24298.5078125
25,5149,39338.484375,
25,5199,42384.2890625,
25,5249,18107.7578125,
25,5299,22760.822265625,
25,5329,,24271.59765625
26,5349,31456.947265625,
26,5399,22907.720703125,
26,5449,23128.751953125,
26,5499,34021.453125,
26,5534,,24227.16015625
27,5549,39251.203125,
27,5599,18618.80859375,
27,5649,27833.46484375,
27,5699,23991.4921875,
27,5739,,24085.0546875
28,5749,38822.484375,
28,5799,12409.5048828125,
28,5849,21927.53515625,
28,5899,17263.181640625,
28,5944,,24102.55078125
29,5949,27434.31640625,
29,5999,23718.447265625,
29,6049,33400.9765625,
29,6099,42281.2109375,
29,6149,6402.78857421875,
29,6149,,24065.314453125
30,6199,17299.66796875,
30,6249,21221.90234375,
30,6299,46156.05078125,
30,6349,23825.96875,
30,6354,,24196.0703125
31,6399,21437.70703125,
31,6449,16755.916015625,
31,6499,10132.0126953125,
31,6549,22131.328125,
31,6559,,24246.78125
32,6599,9647.9248046875,
32,6649,24929.4296875,
32,6699,33249.5234375,
32,6749,31070.23046875,
32,6764,,24050.125
33,6799,19814.50390625,
33,6849,25585.533203125,
33,6899,33293.7421875,
33,6949,28490.8046875,
33,6969,,24152.44921875
34,6999,45846.0625,
34,7049,31796.46484375,
34,7099,19061.4140625,
34,7149,36007.3046875,
34,7174,,24251.931640625
35,7199,14908.361328125,
35,7249,16808.65234375,
35,7299,13977.61328125,
35,7349,43017.70703125,
35,7379,,24062.224609375
36,7399,11562.951171875,
36,7449,21599.7421875,
36,7499,29623.037109375,
36,7549,16658.767578125,
36,7584,,24024.828125
37,7599,13955.271484375,
37,7649,31954.875,
37,7699,16542.833984375,
37,7749,13149.583984375,
37,7789,,24075.8359375
38,7799,18383.765625,
38,7849,14288.640625,
38,7899,21233.712890625,
38,7949,30055.1171875,
38,7994,,24106.634765625
39,7999,14962.484375,
39,8049,30939.25390625,
39,8099,20870.05078125,
39,8149,24120.728515625,
39,8199,3614.741943359375,
39,8199,,24213.4375
