epoch,step,train/loss,train_mae_epoch,train_mape_epoch,train_msle_epoch,train_msqe_epoch,val/loss,val_mae_epoch,val_mape_epoch,val_msle_epoch,val_msqe_epoch
0,49,25876.10546875,,,,,,,,,
0,99,20736.859375,,,,,,,,,
0,149,19306.34765625,,,,,,,,,
0,199,42107.64453125,,,,,,,,,
0,204,,,,,,26223.130859375,123.38143920898438,5.01018762588501,nan,164.58795166015625
0,204,,140.24542236328125,5.781028747558594,nan,187.3963165283203,,,,,
1,249,18502.13671875,,,,,,,,,
1,299,18487.013671875,,,,,,,,,
1,349,32149.37890625,,,,,,,,,
1,399,14282.994140625,,,,,,,,,
1,409,,,,,,25226.052734375,121.65071868896484,5.0278191566467285,nan,161.77490234375
1,409,,129.757568359375,5.435512542724609,nan,174.18099975585938,,,,,
2,449,15468.271484375,,,,,,,,,
2,499,32569.89453125,,,,,,,,,
2,549,34814.2109375,,,,,,,,,
2,599,19787.02734375,,,,,,,,,
2,614,,,,,,25020.26953125,119.73445892333984,4.784820079803467,nan,160.5964813232422
2,614,,125.87618255615234,5.2930827140808105,nan,169.14256286621094,,,,,
3,649,30198.083984375,,,,,,,,,
3,699,22240.275390625,,,,,,,,,
3,749,24748.974609375,,,,,,,,,
3,799,27984.203125,,,,,,,,,
3,819,,,,,,24774.564453125,119.0151596069336,4.73691463470459,nan,159.8090057373047
3,819,,123.69255065917969,5.177524566650391,nan,166.4197540283203,,,,,
4,849,14795.4609375,,,,,,,,,
4,899,23419.6953125,,,,,,,,,
4,949,26956.4921875,,,,,,,,,
4,999,25681.205078125,,,,,,,,,
4,1024,,,,,,24685.10546875,118.2885971069336,4.6690673828125,nan,159.27696228027344
4,1024,,122.28976440429688,5.1093268394470215,nan,164.63223266601562,,,,,
5,1049,18966.4921875,,,,,,,,,
5,1099,32413.4921875,,,,,,,,,
5,1149,24232.58203125,,,,,,,,,
5,1199,12480.60546875,,,,,,,,,
5,1229,,,,,,25041.48046875,117.50892639160156,4.554818630218506,nan,159.1062774658203
5,1229,,121.37032318115234,5.0622429847717285,nan,163.37664794921875,,,,,
6,1249,28842.255859375,,,,,,,,,
6,1299,14400.982421875,,,,,,,,,
6,1349,15339.2646484375,,,,,,,,,
6,1399,23700.07421875,,,,,,,,,
6,1434,,,,,,24475.0078125,117.22368621826172,4.541040420532227,nan,158.73040771484375
6,1434,,120.66758728027344,5.030151844024658,nan,162.4304962158203,,,,,
7,1449,30154.064453125,,,,,,,,,
7,1499,21730.7890625,,,,,,,,,
7,1549,37344.6640625,,,,,,,,,
7,1599,24948.41015625,,,,,,,,,
7,1639,,,,,,24393.130859375,116.98099517822266,4.530554294586182,nan,158.4153594970703
7,1639,,120.12510681152344,4.999361991882324,nan,161.70303344726562,,,,,
8,1649,18371.7578125,,,,,,,,,
8,1699,15413.64453125,,,,,,,,,
8,1749,23231.21875,,,,,,,,,
8,1799,24572.34375,,,,,,,,,
8,1844,,,,,,24308.115234375,116.9163818359375,4.5514726638793945,nan,158.139892578125
8,1844,,119.68220520019531,4.981143474578857,nan,161.11326599121094,,,,,
9,1849,17896.81640625,,,,,,,,,
9,1899,28848.916015625,,,,,,,,,
9,1949,17534.197265625,,,,,,,,,
9,1999,35487.4140625,,,,,,,,,
9,2049,5978.68115234375,,,,,,,,,
9,2049,,,,,,24468.73828125,116.60984802246094,4.519484043121338,nan,157.96971130371094
9,2049,,119.31742858886719,4.957162380218506,nan,160.62852478027344,,,,,
10,2099,20938.84765625,,,,,,,,,
10,2149,41686.53125,,,,,,,,,
10,2199,17900.78125,,,,,,,,,
10,2249,37703.26953125,,,,,,,,,
10,2254,,,,,,24409.9296875,116.41415405273438,4.512393951416016,nan,157.81341552734375
10,2254,,118.97327423095703,4.9367475509643555,nan,160.2026824951172,,,,,
11,2299,27293.466796875,,,,,,,,,
11,2349,22165.11328125,,,,,,,,,
11,2399,29300.9140625,,,,,,,,,
11,2449,27665.23828125,,,,,,,,,
11,2459,,,,,,24202.478515625,116.27759552001953,4.511486053466797,nan,157.6282196044922
11,2459,,118.72462463378906,4.924647808074951,nan,159.85043334960938,,,,,
12,2499,21608.716796875,,,,,,,,,
12,2549,26804.68359375,,,,,,,,,
12,2599,14668.625,,,,,,,,,
12,2649,27440.98046875,,,,,,,,,
12,2664,,,,,,24224.623046875,116.10733032226562,4.502040863037109,nan,157.47671508789062
12,2664,,118.4968490600586,4.915496826171875,nan,159.54429626464844,,,,,
13,2699,17727.3671875,,,,,,,,,
13,2749,11905.5927734375,,,,,,,,,
13,2799,11855.3623046875,,,,,,,,,
13,2849,24458.921875,,,,,,,,,
13,2869,,,,,,24247.43359375,116.13897705078125,4.517622947692871,nan,157.3518524169922
13,2869,,118.28333282470703,4.9032793045043945,nan,159.2666473388672,,,,,
14,2899,19112.4921875,,,,,,,,,
14,2949,23986.12109375,,,,,,,,,
14,2999,16834.64453125,,,,,,,,,
14,3049,22344.681640625,,,,,,,,,
14,3074,,,,,,24110.3828125,116.09537506103516,4.530054569244385,nan,157.21450805664062
14,3074,,118.13580322265625,4.898752212524414,nan,159.04600524902344,,,,,
15,3099,21918.591796875,,,,,,,,,
15,3149,32411.71875,,,,,,,,,
15,3199,23367.25,,,,,,,,,
15,3249,20106.912109375,,,,,,,,,
15,3279,,,,,,24123.81640625,116.08610534667969,4.540946006774902,nan,157.096923828125
15,3279,,117.97669982910156,4.894198894500732,nan,158.83251953125,,,,,
16,3299,12154.244140625,,,,,,,,,
16,3349,15113.5068359375,,,,,,,,,
16,3399,17445.61328125,,,,,,,,,
16,3449,28721.52734375,,,,,,,,,
16,3484,,,,,,24121.90625,115.96617126464844,4.534404277801514,nan,156.99269104003906
16,3484,,117.86560821533203,4.88864803314209,nan,158.67713928222656,,,,,
17,3499,38274.78515625,,,,,,,,,
17,3549,24618.748046875,,,,,,,,,
17,3599,10605.560546875,,,,,,,,,
17,3649,29796.923828125,,,,,,,,,
17,3689,,,,,,24076.494140625,115.89741516113281,4.532214164733887,nan,156.89193725585938
17,3689,,117.73783111572266,4.884100914001465,nan,158.50270080566406,,,,,
18,3699,40310.03515625,,,,,,,,,
18,3749,27410.9375,,,,,,,,,
18,3799,37838.2578125,,,,,,,,,
18,3849,20290.921875,,,,,,,,,
18,3894,,,,,,24104.150390625,115.9144287109375,4.5423502922058105,nan,156.80633544921875
18,3894,,117.6346206665039,4.881392002105713,nan,158.36070251464844,,,,,
19,3899,20396.771484375,,,,,,,,,
19,3949,21610.00390625,,,,,,,,,
19,3999,31068.287109375,,,,,,,,,
19,4049,17188.92578125,,,,,,,,,
19,4099,45442.3671875,,,,,,,,,
19,4099,,,,,,24007.18359375,115.8140869140625,4.5380754470825195,nan,156.71380615234375
19,4099,,117.53522491455078,4.876835823059082,nan,158.22633361816406,,,,,
20,4149,28546.5390625,,,,,,,,,
20,4199,14769.80078125,,,,,,,,,
20,4249,18176.220703125,,,,,,,,,
20,4299,23781.111328125,,,,,,,,,
20,4304,,,,,,24003.708984375,115.811767578125,4.546947479248047,nan,156.6295166015625
20,4304,,117.44113159179688,4.8719940185546875,nan,158.09910583496094,,,,,
21,4349,23786.44140625,,,,,,,,,
21,4399,20651.58203125,,,,,,,,,
21,4449,25528.359375,,,,,,,,,
21,4499,28733.94140625,,,,,,,,,
21,4509,,,,,,24055.15234375,115.7286376953125,4.539612770080566,nan,156.56031799316406
21,4509,,117.34912872314453,4.871575832366943,nan,157.97805786132812,,,,,
22,4549,13680.845703125,,,,,,,,,
22,4599,34156.546875,,,,,,,,,
22,4649,25181.1015625,,,,,,,,,
22,4699,17315.828125,,,,,,,,,
22,4714,,,,,,24139.857421875,115.7947769165039,4.5560503005981445,nan,156.50880432128906
22,4714,,117.26649475097656,4.868515491485596,nan,157.86305236816406,,,,,
23,4749,18019.875,,,,,,,,,
23,4799,20335.970703125,,,,,,,,,
23,4849,45464.91015625,,,,,,,,,
23,4899,25041.765625,,,,,,,,,
23,4919,,,,,,24324.87109375,115.63525390625,4.531252861022949,nan,156.48619079589844
23,4919,,117.19715118408203,4.8681721687316895,nan,157.75811767578125,,,,,
24,4949,9629.87890625,,,,,,,,,
24,4999,18614.625,,,,,,,,,
24,5049,21515.357421875,,,,,,,,,
24,5099,26734.6484375,,,,,,,,,
24,5124,,,,,,23977.314453125,115.67386627197266,4.546384334564209,nan,156.4209747314453
24,5124,,117.11181640625,4.8631815910339355,nan,157.66250610351562,,,,,
25,5149,28023.5859375,,,,,,,,,
25,5199,28532.89453125,,,,,,,,,
25,5249,44398.96875,,,,,,,,,
25,5299,17352.6796875,,,,,,,,,
25,5329,,,,,,23886.009765625,115.61861419677734,4.546541213989258,nan,156.3495635986328
25,5329,,117.05265808105469,4.861417770385742,nan,157.57571411132812,,,,,
26,5349,29080.189453125,,,,,,,,,
26,5399,22448.63671875,,,,,,,,,
26,5449,20965.958984375,,,,,,,,,
26,5499,21050.708984375,,,,,,,,,
26,5534,,,,,,24004.1875,115.51359558105469,4.536235809326172,nan,156.29736328125
26,5534,,116.9888687133789,4.858786582946777,nan,157.48741149902344,,,,,
27,5549,17006.111328125,,,,,,,,,
27,5599,33550.2421875,,,,,,,,,
27,5649,14522.31640625,,,,,,,,,
27,5699,22908.1875,,,,,,,,,
27,5739,,,,,,24068.111328125,115.4066390991211,4.523698806762695,nan,156.25621032714844
27,5739,,116.92300415039062,4.855841159820557,nan,157.3972930908203,,,,,
28,5749,23694.0234375,,,,,,,,,
28,5799,17662.453125,,,,,,,,,
28,5849,23682.90234375,,,,,,,,,
28,5899,37373.19921875,,,,,,,,,
28,5944,,,,,,24275.724609375,115.52752685546875,4.545224189758301,nan,156.24073791503906
28,5944,,116.86185455322266,4.852980613708496,nan,157.33065795898438,,,,,
29,5949,34882.24609375,,,,,,,,,
29,5999,19481.9296875,,,,,,,,,
29,6049,24499.259765625,,,,,,,,,
29,6099,8274.5576171875,,,,,,,,,
29,6149,25943.794921875,,,,,,,,,
29,6149,,,,,,24493.337890625,115.67527770996094,4.567301273345947,nan,156.24952697753906
29,6149,,116.81106567382812,4.850840091705322,nan,157.25267028808594,,,,,
30,6199,14168.05078125,,,,,,,,,
30,6249,17046.35546875,,,,,,,,,
30,6299,20001.2890625,,,,,,,,,
30,6349,24066.91015625,,,,,,,,,
30,6354,,,,,,23992.853515625,115.58111572265625,4.559661865234375,nan,156.2061004638672
30,6354,,116.75323486328125,4.846607685089111,nan,157.1792755126953,,,,,
31,6399,17372.84375,,,,,,,,,
31,6449,20845.794921875,,,,,,,,,
31,6499,27192.296875,,,,,,,,,
31,6549,19292.109375,,,,,,,,,
31,6559,,,,,,23891.357421875,115.55473327636719,4.560256481170654,nan,156.1552276611328
31,6559,,116.71054077148438,4.846642017364502,nan,157.11907958984375,,,,,
32,6599,13705.98828125,,,,,,,,,
32,6649,26039.591796875,,,,,,,,,
32,6699,11814.021484375,,,,,,,,,
32,6749,19748.84375,,,,,,,,,
32,6764,,,,,,24064.763671875,115.60115814208984,4.570976734161377,nan,156.12423706054688
32,6764,,116.6452407836914,4.842194080352783,nan,157.0507049560547,,,,,
33,6799,26089.6875,,,,,,,,,
33,6849,21518.9375,,,,,,,,,
33,6899,26053.921875,,,,,,,,,
33,6949,13936.6748046875,,,,,,,,,
33,6969,,,,,,23989.3125,115.64945220947266,4.585067272186279,nan,156.0879364013672
33,6969,,116.60435485839844,4.841200828552246,nan,156.98953247070312,,,,,
34,6999,14773.505859375,,,,,,,,,
34,7049,38028.015625,,,,,,,,,
34,7099,20005.970703125,,,,,,,,,
34,7149,23971.41015625,,,,,,,,,
34,7174,,,,,,23844.697265625,115.64578247070312,4.589925765991211,nan,156.04052734375
34,7174,,116.55339050292969,4.839790344238281,nan,156.9298858642578,,,,,
35,7199,15474.583984375,,,,,,,,,
35,7249,14909.4169921875,,,,,,,,,
35,7299,13097.5546875,,,,,,,,,
35,7349,26638.12109375,,,,,,,,,
35,7379,,,,,,23812.109375,115.58832550048828,4.586573600769043,nan,155.99281311035156
35,7379,,116.51176452636719,4.838332653045654,nan,156.86929321289062,,,,,
36,7399,10254.8857421875,,,,,,,,,
36,7449,26974.880859375,,,,,,,,,
36,7499,24370.923828125,,,,,,,,,
36,7549,23232.439453125,,,,,,,,,
36,7584,,,,,,23844.427734375,115.55355834960938,4.584934711456299,nan,155.950439453125
36,7584,,116.47115325927734,4.837619781494141,nan,156.8115692138672,,,,,
37,7599,13781.390625,,,,,,,,,
37,7649,33904.9375,,,,,,,,,
37,7699,17635.716796875,,,,,,,,,
